id;name;surname;drive_license_id;expiration_date;release_date
1;Investment;Re-contextualized e-business Dollar;87899;2022-09-14;2022-09-13
2;Graphic Street;indexing;44444;2022-09-13;2022-09-14
3;Open-source digital;sexy;99009;2022-09-14;2022-09-14
4;Concrete;Vincent Regional;34951;2022-09-14;2022-09-14
5;Fantastic;Connecticut program;97675;2022-09-13;2022-09-14
6;compress Facilitator;Brunei AGP;17638;2022-09-14;2022-09-13
7;platforms architect withdrawal;Arab moratorium;54933;2022-09-13;2022-09-13
8;matrix;Tools revolutionize Chicken;10133;2022-09-14;2022-09-14
9;Cloned Consultant schemas;Small Health Configuration;46777;2022-09-14;2022-09-14
10;Direct Arkansas;Solutions portal Cambridgeshire;12674;2022-09-14;2022-09-13
